,path,acc,f1,pr,re,auc_pr_RUNX1_RUNX1T1,auc_pr_control,auc_pr_NPM1,auc_pr_PML_RARA,auc_pr_CBFB_MYH11,auc_roc_RUNX1_RUNX1T1,auc_roc_control,auc_roc_NPM1,auc_roc_PML_RARA,auc_roc_CBFB_MYH11,c_acc_RUNX1_RUNX1T1,c_acc_control,c_acc_NPM1,c_acc_PML_RARA,c_acc_CBFB_MYH11,c_f1_RUNX1_RUNX1T1,c_f1_control,c_f1_NPM1,c_f1_PML_RARA,c_f1_CBFB_MYH11
mean,mean_mix50,0.9009009009009009,0.9000693000693002,0.9014371514371514,0.9009009009009009,0.9251322751322751,1.0,0.8862639694572466,1.0,0.8658644265787121,0.92831541218638,1.0,0.834920634920635,1.0,0.9063492063492063,0.888888888888889,1.0,0.7142857142857143,1.0,0.8571428571428571,0.8632478632478633,1.0,0.7509157509157509,1.0,0.8380952380952381
std,std_mix50,0.015604061329449378,0.014525268074862362,0.014625784855502642,0.015604061329449378,0.06049776379229491,0.0,0.0638001095452182,0.0,0.06388209088058691,0.048112522432468774,0.0,0.00962250448649373,0.0,0.00962250448649373,0.0962250448649376,0.0,0.0,0.0,0.0,0.05181348569650489,0.0,0.031722542263166266,0.0,0.03299144395369285
mean,mean_uncertain_max10,0.8738738738738739,0.8732245820481115,0.8912269412269412,0.8738738738738739,0.9914021164021163,1.0,0.9132779180048086,0.9877777777777778,0.8523759309473594,0.8835125448028673,1.0,0.8587301587301588,0.9614583333333333,0.8603174603174604,0.7777777777777778,1.0,0.7619047619047619,0.9333333333333332,0.8095238095238094,0.8329448329448329,1.0,0.7794871794871795,0.9326599326599326,0.7417043740573153
std,std_uncertain_max10,0.015604061329449314,0.013699653470623829,0.0015766860116635051,0.015604061329449314,0.014891971229097564,0.0,0.03946760359481309,0.021169509870286256,0.09006644383226822,0.12040890430344885,0.0,0.03161680045562238,0.05379479722364731,0.019097157802406284,0.2545875386086578,0.0,0.08247860988423221,0.11547005383792514,0.08247860988423221,0.14417081390637423,0.0,0.0177646236673731,0.05918651795032644,0.03247873949117473
mean,mean_uncertain_max20,0.9099099099099099,0.9097083097083097,0.911947661947662,0.9099099099099099,0.9055014430014431,1.0,0.7934649936529635,1.0,0.7796588332302617,0.9336917562724015,1.0,0.8531746031746033,1.0,0.9119047619047619,0.888888888888889,1.0,0.7619047619047619,1.0,0.8571428571428571,0.8885003885003885,1.0,0.7611721611721611,1.0,0.8571428571428571
std,std_uncertain_max20,0.015604061329449378,0.015531415638295918,0.017758558128264747,0.015604061329449378,0.015288124019202603,0.0,0.09085256325218219,0.0,0.1138287555715717,0.044198431738847715,0.0,0.03736907100632873,0.0,0.0,0.0962250448649376,0.0,0.08247860988423221,0.0,0.0,0.04828514397470432,0.0,0.04342166011058593,0.0,0.0
mean,mean_uncertain_max30,0.8378378378378378,0.8385715385715385,0.8522659022659022,0.8378378378378378,0.8941789215686274,1.0,0.7665700444083902,1.0,0.8008022462246256,0.867383512544803,1.0,0.753968253968254,0.9666666666666667,0.8587301587301588,0.7777777777777778,1.0,0.6190476190476191,0.9333333333333332,0.7619047619047619,0.7825396825396825,1.0,0.5793650793650794,0.9629629629629629,0.7802197802197802
std,std_uncertain_max30,0.0,0.006921284980285373,0.026169169512666575,0.0,0.1148044454880378,0.0,0.09619469152877168,0.0,0.039761117450997314,0.03361110991668655,0.0,0.08365019125713039,0.05773502691896257,0.04679848567557319,0.09622504486493767,0.0,0.21821789023599236,0.11547005383792512,0.08247860988423221,0.06141441943540669,0.0,0.08361629962581536,0.06415002990995845,0.07205976400331866
mean,mean_uncertain_max40,0.8468468468468467,0.8461926211926212,0.855005005005005,0.8468468468468467,0.8946662100647608,1.0,0.784634308268762,1.0,0.836909915481344,0.839605734767025,1.0,0.7944444444444444,0.9947916666666666,0.8531746031746033,0.7222222222222223,1.0,0.6666666666666666,1.0,0.7619047619047619,0.7411255411255411,1.0,0.6686507936507936,0.9696969696969697,0.7619047619047619
std,std_uncertain_max40,0.04128446572032286,0.04172247388584226,0.03812641201270636,0.04128446572032286,0.09123337266520799,0.0,0.09245463451741961,0.0,0.05366316419202722,0.09471118467185531,0.0,0.02759577563605357,0.009021097956087904,0.050861809428609836,0.1924500897298753,0.0,0.08247860988423228,0.0,0.08247860988423221,0.15628365157384527,0.0,0.04467591368729248,0.05248638810814781,0.08247860988423221
mean,mean_uncertain_max50,0.8288288288288288,0.8238110838110838,0.8368643368643368,0.8288288288288288,0.8654531425364759,1.0,0.6841474654721006,0.9449206349206349,0.8103673078426773,0.8225806451612904,0.9866666666666667,0.723015873015873,0.984375,0.9007936507936508,0.6666666666666666,1.0,0.5238095238095238,1.0,0.8571428571428571,0.7444444444444445,0.9733333333333333,0.5757575757575758,0.9141414141414143,0.8190476190476191
std,std_uncertain_max50,0.04128446572032291,0.04224328526056786,0.05113870413413903,0.04128446572032291,0.09500495262789135,0.0,0.160025516672545,0.0954002587660954,0.026867339453360083,0.08385201054022702,0.011547005383792525,0.06991788726741913,0.015625,0.00962250448649373,0.16666666666666669,0.0,0.08247860988423225,0.0,0.0,0.12619796324000612,0.023094010767585053,0.14939769633538874,0.08344803859524395,0.03299144395369285
mean,mean_uncertain_misscl10,0.8288288288288288,0.8144958944958945,0.8238911988911989,0.8288288288288288,0.737037037037037,1.0,0.8838260945403803,1.0,0.6705775305869289,0.9345878136200717,0.9933333333333333,0.834920634920635,0.9614583333333333,0.7047619047619048,0.9444444444444445,1.0,0.7142857142857143,0.9333333333333332,0.4761904761904762,0.8111111111111112,0.9866666666666667,0.7509157509157509,0.9326599326599326,0.5014245014245015
std,std_uncertain_misscl10,0.04128446572032291,0.06531566075622297,0.06485199707925898,0.04128446572032291,0.1447020875816921,0.0,0.05505443143883677,0.0,0.15361723361145077,0.029488320200545308,0.011547005383792525,0.00962250448649373,0.05379479722364731,0.1327581129471491,0.0962250448649376,0.0,0.0,0.11547005383792512,0.2973808570665904,0.01924500897298752,0.023094010767585053,0.031722542263166266,0.05918651795032644,0.24315200334304124
mean,mean_uncertain_misscl20,0.8648648648648649,0.8624792624792624,0.8650257400257401,0.8648648648648649,0.9101521164021164,1.0,0.8707006539989731,1.0,0.8541039648182505,0.839605734767025,1.0,0.8238095238095239,0.9947916666666666,0.8825396825396825,0.7222222222222222,1.0,0.7142857142857143,1.0,0.8095238095238094,0.72991452991453,1.0,0.7167277167277167,0.9696969696969697,0.8095238095238094
std,std_uncertain_misscl20,0.04681218398834807,0.047146119490271414,0.046119011430034766,0.04681218398834807,0.08791554123123334,0.0,0.0409763504750835,0.0,0.10419540723994354,0.1293771525607699,0.0,0.016666666666666663,0.009021097956087904,0.050861809428609836,0.2545875386086578,0.0,0.0,0.0,0.08247860988423221,0.17057225363545603,0.0,0.05132563994379418,0.05248638810814781,0.08247860988423221
mean,mean_uncertain_misscl30,0.846846846846847,0.8437530187530187,0.851926926926927,0.846846846846847,0.862687389770723,1.0,0.7449544775175024,1.0,0.8690496711505115,0.7948028673835127,1.0,0.8071428571428573,0.9947916666666666,0.876984126984127,0.6111111111111112,1.0,0.7142857142857143,1.0,0.8095238095238094,0.6936026936026937,1.0,0.6686507936507936,0.9696969696969697,0.7897435897435897
std,std_uncertain_misscl30,0.03120812265889869,0.036934967001935805,0.03265345778569885,0.03120812265889869,0.09444142428378886,0.0,0.08435501909814075,0.0,0.020473965218558838,0.13447131153609723,0.0,0.016666666666666663,0.009021097956087904,0.03161680045562238,0.2545875386086578,0.0,0.0,0.0,0.08247860988423221,0.23414597509378735,0.0,0.04467591368729248,0.05248638810814781,0.0177646236673731
mean,mean_uncertain_misscl40,0.8243243243243243,0.824458986958987,0.8298048048048048,0.8243243243243243,0.830552074631022,1.0,0.7002479871840773,1.0,0.7991845980816568,0.8172043010752688,1.0,0.7440476190476191,1.0,0.842857142857143,0.6666666666666666,1.0,0.5714285714285714,1.0,0.7857142857142857,0.7272727272727273,1.0,0.5934065934065934,1.0,0.7125
std,std_uncertain_misscl40,0.01911099408612287,0.017530661882847395,0.013271523670918602,0.01911099408612287,0.10354555858728651,0.0,0.09285097451518062,0.0,0.006356968590308162,0.0,0.0,0.01178511301977575,0.0,0.0740778532671621,0.0,0.0,0.0,0.0,0.10101525445522103,0.0,0.0,0.031081616755452686,0.0,0.12374368670764585
mean,mean_uncertain_misscl50,0.8378378378378379,0.8388104013104013,0.8468093093093093,0.8378378378378379,0.8114076028138527,1.0,0.6183180964693569,1.0,0.8360358688930116,0.8091397849462365,1.0,0.7880952380952381,1.0,0.8511904761904763,0.6666666666666666,1.0,0.6428571428571428,1.0,0.7857142857142857,0.696969696969697,1.0,0.6666666666666666,1.0,0.7410714285714286
std,std_uncertain_misscl50,0.03822198817224581,0.03800481778490352,0.032223259472990484,0.03822198817224581,0.11027658042003127,0.0,0.0797854001535057,0.0,0.07556903083292961,0.011404948083653983,0.0,0.026937401188059013,0.0,0.08586296628693785,0.0,0.0,0.10101525445522111,0.0,0.10101525445522103,0.042854956435548375,0.0,0.0,0.0,0.16414978848973422
mean,mean_uncertain_sum10,0.8648648648648649,0.8638820638820639,0.8662162162162161,0.8648648648648649,0.8571022727272727,1.0,0.8923387337391095,1.0,0.708737889095032,0.8172043010752688,1.0,0.8238095238095239,1.0,0.8952380952380953,0.6666666666666666,1.0,0.7142857142857143,1.0,0.8571428571428571,0.7272727272727273,1.0,0.7142857142857143,1.0,0.8
std,std_uncertain_sum10,0.0,0.0,0.0,0.0,0.006651446363434034,0.0,0.0504390600644988,0.0,0.04418506350178771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,mean_uncertain_sum20,0.8513513513513513,0.8507213507213508,0.8530727155727156,0.8513513513513513,0.9237103174603174,1.0,0.7089873449379751,1.0,0.7585235003092144,0.8508064516129032,1.0,0.7797619047619048,1.0,0.8678571428571429,0.75,1.0,0.6428571428571428,1.0,0.7857142857142857,0.7482517482517483,1.0,0.641025641025641,1.0,0.7857142857142857
std,std_uncertain_sum20,0.019110994086122948,0.017061796585046824,0.014856522783616906,0.019110994086122948,0.028200091868749274,0.0,0.02703466727690758,0.0,0.05639581078276007,0.047520617015225086,0.0,0.03872251420783476,0.0,0.062292740247386263,0.11785113019775798,0.0,0.10101525445522111,0.0,0.10101525445522103,0.02966881599384117,0.0,0.03626188621469469,0.0,0.10101525445522103
mean,mean_uncertain_sum30,0.8243243243243243,0.822914697914698,0.8266891891891892,0.8243243243243243,0.6869893944622205,1.0,0.7264224279455371,1.0,0.8120344932844933,0.8091397849462365,1.0,0.7523809523809524,1.0,0.8428571428571429,0.6666666666666666,1.0,0.5714285714285714,1.0,0.7857142857142857,0.696969696969697,1.0,0.6153846153846154,1.0,0.7083333333333333
std,std_uncertain_sum30,0.01911099408612287,0.01809753227852558,0.020862835210684154,0.01911099408612287,0.02845453393022926,0.0,0.08192235199643509,0.0,0.006874649261535854,0.011404948083653983,0.0,0.0,0.0,0.05050762722761051,0.0,0.0,0.0,0.0,0.10101525445522103,0.042854956435548375,0.0,0.0,0.0,0.05892556509887899
mean,mean_uncertain_sum40,0.7837837837837838,0.7831081081081082,0.7942942942942942,0.7837837837837838,0.7493483504512916,1.0,0.6418747918747918,1.0,0.7722591030032427,0.7338709677419355,1.0,0.719047619047619,1.0,0.8071428571428572,0.5,1.0,0.5714285714285714,1.0,0.7142857142857142,0.6,1.0,0.5357142857142857,1.0,0.6607142857142857
std,std_uncertain_sum40,0.03822198817224581,0.033444239650715135,0.029728213022857813,0.03822198817224581,0.12326226869213208,0.0,0.05632758147613793,0.0,0.09220989941997122,0.0,0.0,0.023570226039551657,0.0,0.10101525445522103,0.0,0.0,0.0,0.0,0.20203050891044214,0.0,0.0,0.05050762722761051,0.0,0.12626906806902638
